artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
TheOvertunes,Cek Toko Sebelah (Original Motion Picture Soundtrack),I Still Love You,4reIsHKw5hUj4pV8zzMjLA,0.446,0.159,1,-12.129,1,0.0376,5.24e-06,0.11,0.172,119.93,286314,4
HONNE,Love Me / Love Me Not,Day 1 ◑,6ZzYETKetIfNUsZUb23jgG,0.503,0.581,6,-7.007,1,0.0881,0.000708,0.257,0.633,94.555,233601,4
Mako,Coyote,Coyote,7Bgli0yPH0aFzuXMa7BnJE,0.554,0.773,4,-6.124,0,0.0537,0.167,0.338,0.256,133.395,232721,4
TWICE,MORE & MORE,MORE & MORE,3omvXShuRPM3zbDpWYqf5g,0.739,0.841,5,-4.162,1,0.06,0.0,0.173,0.562,106.99,199653,4
Mika Nakashima,Yuki No Hana 15th Anniversary Best Bible,僕が死のうと思ったのは,1n8OcweHlwX1NM7xqNCNw4,0.546,0.567,8,-6.9,1,0.0276,8.43e-06,0.0969,0.384,167.769,380560,4
Westlife,Coast To Coast,My Love,5p0ietGkLNEqx1Z7ijkw5g,0.492,0.593,0,-5.975,1,0.0255,0.0,0.257,0.329,144.134,231760,4
Adele,25,When We Were Young,0cj2joJcY6b4XSRfj2eZOl,0.377,0.595,3,-5.936,1,0.0489,0.0,0.095,0.264,144.464,290900,4
Lady A,Need You Now,Need You Now,7GAaTpSoTWUTbP2Yxlt4Hd,0.581,0.717,4,-4.433,1,0.0318,0.000186,0.243,0.316,107.884,236440,4
John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,269560,4
Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,0.637,0.843,5,-5.413,1,0.0432,0.0,0.0876,0.434,109.012,220733,4
Eagles,Hotel California (2013 Remaster),Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.000494,0.0575,0.609,147.125,391376,4
David Tao,I'm O.K.,普通朋友,7CTitzr4eVIDCPUJi5Dr4B,0.56,0.278,5,-10.123,1,0.0351,0.0,0.131,0.465,177.823,255133,4
Sara Bareilles,The Blessed Unrest,Brave,6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,10,-3.838,0,0.0524,2.1e-05,0.0425,0.758,185.063,220573,4
Maroon 5,V (Asia Tour Edition),Sugar,5d6Mjuu2uCGRPYpFjGpCX5,0.748,0.788,1,-7.055,1,0.0334,0.0,0.0863,0.884,120.076,235493,4
George Benson,20/20,Nothing's Gonna Change My Love for You,0vB4Vd6PtkJSEnWsmqATnZ,0.553,0.614,1,-5.098,1,0.0306,0.0,0.0811,0.345,136.628,242679,4
Shane Filan,Love Always,Beautiful In White,43wROOsAEK0F3Fu46Vjn7W,0.554,0.398,7,-5.598,1,0.0245,0.0,0.123,0.259,76.006,232040,4
Palmer Ridge High School Wind Ensemble,"2018 Music for All (Indianapolis, IN): Palmer Ridge High School Wind Ensemble [Live]",Adventure Tale of Professor Alex (Live),5UTlz5K5y4cNMHQQ9Md60d,0.225,0.324,8,-15.014,1,0.0532,0.835,0.699,0.13,73.876,513813,4
University of Texas at El Paso Wind Symphony,2010 Texas Music Educators Association: University of Texas at El Paso Wind Symphony,"Machu Picchu, ""City in the Sky""",13aHEyQPpokLIJJKa6sX9J,0.207,0.348,7,-16.591,1,0.0912,0.666,0.791,0.0829,148.534,663333,4
Various Artists,Nm Janitsjar 2012 - 2 Divisjon,Perseus,0b3VzoSKSTkFGAHdbTq4Tj,0.226,0.318,0,-16.482,1,0.0733,0.841,0.725,0.115,133.238,453856,4
Frank Ocean,Blonde,White Ferrari,2LMkwUfqC6S6s6qDVlEuzV,0.444,0.0924,0,-15.605,1,0.0366,0.0,0.304,0.219,108.917,248808,4
6LACK,East Atlanta Love Letter,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,0.61,0.458,9,-11.336,1,0.36,0.000103,0.0852,0.246,192.099,240342,4
"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,7.49e-06,0.109,0.62,78.558,180387,4
Adele,19,Chasing Pavements,2OuNgtXKeCSORKqdl0MxKk,0.614,0.47,5,-6.09,0,0.0255,0.0,0.111,0.329,80.045,210507,4
Drake,Scorpion,Don’t Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0,0.822,0.318,10,-12.391,1,0.0575,0.0128,0.11,0.138,102.998,245787,4
HOAX,Indian Summer,Indian Summer,3H6UNisVryuz6uRKDk5YHc,0.592,0.855,0,-4.726,1,0.0282,7.7e-05,0.32,0.685,106.007,184302,4
HOAX,Grow,Grow,52juK6PG2pCl9P8idhgeYI,0.719,0.745,1,-3.438,0,0.0301,0.0,0.294,0.772,115.027,188185,4
Joji,Nectar,Sanctuary,0rOLFkjY5DSIViVBNnzOuK,0.552,0.638,1,-7.474,1,0.11,0.00014,0.374,0.332,167.834,180019,4
Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,8,-4.946,1,0.0597,0.000194,0.0926,0.552,96.924,232187,4
Post Malone,Hollywood's Bleeding,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,0.548,0.653,5,-3.875,1,0.081,0.0,0.103,0.163,150.068,174853,4
Bleachers,Strange Desire,Rollercoaster,5L95vS64rG1YMIFm1hLjyZ,0.421,0.79,10,-6.227,1,0.0538,0.000309,0.148,0.279,162.024,188867,4
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Money Trees,0UtnpKaReKUg2GquaSxCyD,0.716,0.531,7,-7.355,1,0.122,0.0,0.224,0.344,71.994,386907,4
Coldplay,X&Y,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.00196,0.113,0.124,138.178,295533,4
Coldplay,A Head Full of Dreams,Everglow,5qfZRNjt2TkHEL12r3sDEU,0.534,0.445,4,-9.155,1,0.0292,0.0684,0.112,0.136,146.107,282693,4
Coldplay,A Head Full of Dreams,Up&Up,31L9yLXSj6LpCFupyMV6CR,0.479,0.717,7,-5.459,1,0.0605,0.000333,0.102,0.253,163.989,405320,4
Kodaline,In A Perfect World (Expanded Edition),High Hopes,6KkyuDhrEhR5nJVKtv9mCf,0.488,0.487,4,-6.371,1,0.0307,0.0,0.193,0.217,77.344,230267,4
Joker Xue,初學者,演員,6LunoYd3xpZ19sICOXS8Xd,0.53,0.432,11,-10.678,1,0.0472,7.81e-06,0.113,0.186,182.842,261250,4
831,"想見你想見你想見你(電視劇""想見你""片尾曲)","想見你想見你想見你(電視劇""想見你""片尾曲)",69zgyr5HVKdInjeKpq1qHa,0.547,0.666,6,-5.694,1,0.0393,0.0,0.144,0.43,129.814,239795,4
Grady Guan,寂寞 (特別版),想你的夜 (未眠版) - Sleepless Version,5hDVVxJefgZfcGqhuy0Gtt,0.534,0.386,4,-8.497,1,0.0367,0.0,0.16,0.164,124.025,284680,4
G.E.M.,摩天動物園,"很久以後 - 電影《可不可以,你也剛好喜歡我》主題曲",6lZKB76djHxzO0p2Y3E8vj,0.46,0.474,2,-8.959,1,0.0342,1.5e-05,0.1,0.186,145.943,290265,4
Marc Wavy,Daydreaming,Daydreaming,3gXS1kwhHCpIm6KjpoXWSr,0.897,0.387,10,-6.941,1,0.0511,1.34e-05,0.109,0.839,118.899,175495,4
HONNE,nswy: dream edits,free love - dream edit,3HAsf0o0TJY9WL4zKCzE3u,0.67,0.22,8,-10.214,1,0.0422,7.61e-05,0.111,0.139,119.604,249945,4
HONNE,no song without you,no song without you,1lNHWPDvKEbamKezpLq7HW,0.788,0.473,0,-12.744,1,0.0328,0.254,0.109,0.81,105.429,160347,4
LANY,Make Out,ILYSB - STRIPPED,3Dkvp3L4w0uJFYfIPa8E9H,0.661,0.393,5,-8.199,1,0.0554,0.000131,0.11,0.165,83.851,244820,4
Sam Smith,Love Goes,Dancing With A Stranger (with Normani),3xgT3xIlFGqZjYW9QlhJWp,0.741,0.52,8,-7.513,1,0.0656,1.97e-06,0.222,0.347,102.998,171030,4
Sam Smith,Love Goes,Fire On Fire,7t3Xdbufg7q2onVsR8RBdY,0.584,0.408,1,-7.356,0,0.0461,0.0,0.18,0.333,115.129,246735,4
"Tyler, The Creator",IGOR,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,0.554,0.498,9,-8.866,1,0.0685,5.98e-06,0.795,0.413,79.635,190067,4
Bren Joy,Twenties,Henny in the Hamptons,19NKbRV1zevCIzePp88Wzh,0.631,0.634,1,-6.786,0,0.115,0.0,0.168,0.479,87.903,197375,4
Sik-K,H.A.L.F (Have.A.Little.Fun),party (SHUT DOWN),1XiRSYNZaDunJcZYlC1dU3,0.702,0.587,8,-5.816,1,0.122,0.0,0.0631,0.773,140.001,216114,4
BROCKHAMPTON,GINGER,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.0,0.19,0.516,122.973,204533,4
Halsey,Manic,Without Me - Stripped,7EwVFWY45ClBKUV93a76db,0.666,0.482,6,-3.813,1,0.0325,1.35e-06,0.105,0.181,129.758,182419,4
Glee Cast,"Glee: The Music, Volume 5",Get It Right (Glee Cast Version),2IIdrejPZuHHFpc3LbTtEK,0.419,0.549,2,-5.696,1,0.0322,0.0,0.073,0.141,83.555,227853,4
The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4
Beyoncé,B'Day Deluxe Edition,"Listen (From the Motion Picture ""Dreamgirls"")",4z7Ja0RNran3XpIvc1PIQz,0.432,0.637,11,-3.905,1,0.0475,0.0,0.113,0.187,122.394,219547,4
Shin Yong Jae,Dear,First Line,1frranq2uyiOn5RObEG9g9,0.36,0.409,11,-5.675,1,0.0329,0.0,0.1,0.363,126.947,240840,3
YOASOBI,たぶん,たぶん,62Lv9WcrfzJqhvYDbilJy3,0.747,0.666,5,-6.395,1,0.0324,0.000912,0.0981,0.731,90.008,258667,4
Various Artists,Wicked,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",0yM3VmM8gHEVGViKvAbQkc,0.333,0.377,6,-8.282,1,0.0343,0.0,0.0333,0.245,87.613,353920,4
Kenshi Yonezu,Lemon,Lemon,35KlorpQ6LQVVslvlcu1gN,0.532,0.661,11,-4.924,1,0.0268,0.0,0.354,0.446,86.983,256107,4
Alphaville,Forever Young,Forever Young,4S1VYqwfkLit9mKVY3MXoo,0.489,0.483,9,-9.466,0,0.0275,0.0028,0.236,0.333,136.822,226706,4
Various Artists,My Mister (Original TV Soundtrack),Grown Ups,22k4Za8YbhxflqDBhp8FNk,0.47,0.322,2,-7.159,1,0.0351,0.00238,0.0968,0.099,121.443,259887,4
Crush,Guardian (Original Television Soundtrack) Part 4,Beautiful,6mzF8HvHdVrzJNd8M1uFCS,0.524,0.405,10,-6.145,1,0.028,0.0,0.107,0.237,109.984,227584,4
Parachute,The Way It Was,Forever And Always,3NCg46FWgnANZc9HQHQOQR,0.657,0.716,2,-5.675,1,0.0301,0.0,0.0483,0.435,93.924,248960,4
Various Artists,Beauty and the Beast,Be Our Guest,0VP8vjhUvDOi98cku3R8Aq,0.517,0.421,11,-12.822,0,0.172,0.0,0.0788,0.578,121.466,224733,4
Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9,-3.442,1,0.0456,0.0,0.167,0.875,91.455,269000,4
JJ Lin,JJ林俊傑100天,第幾個100天,2tXTEROacuvyybcZoX9RmT,0.247,0.475,0,-6.658,1,0.0286,0.0,0.13,0.201,96.429,278895,3
Cass Elliot,Dream A Little Dream Of Me,Dream A Little Dream Of Me,3cOWCcBKwiwUs5PCYirwMI,0.41,0.532,11,-10.394,0,0.195,0.0,0.698,0.406,134.128,221373,4
Baek Ji Young,I still love you a lot,I still love you a lot,2zCORPZHF7g9SPjZfrGVuy,0.548,0.404,4,-5.618,1,0.0314,0.0,0.0791,0.486,129.795,227867,4
TOTO,Toto IV,Africa,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,8.01e-05,0.0481,0.732,92.718,295893,4
Avril Lavigne,Goodbye Lullaby (Deluxe Edition),Wish You Were Here,72po8JKu6e1hLtQ7kGJPg3,0.46,0.866,1,-3.864,0,0.0559,0.0,0.19,0.345,165.956,225680,4
